Enzyme 	KO 	D 	C 	B 	A 	
F42G8.3 pmk-2; P38 Map Kinase family member (pmk-2)	K04441 p38 MAP kinase [EC:2.7.11.24] 	2.7.11.24  mitogen-activated protein kinase 	2.7.11  Protein-serine/threonine kinases 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
B0218.3 pmk-1; P38 Map Kinase family member (pmk-1)	K04441 p38 MAP kinase [EC:2.7.11.24] 	2.7.11.24  mitogen-activated protein kinase 	2.7.11  Protein-serine/threonine kinases 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
W06F12.1 lit-1; Loss of InTestine family member (lit-1)	K04468 nemo like kinase [EC:2.7.11.24] 	2.7.11.24  mitogen-activated protein kinase 	2.7.11  Protein-serine/threonine kinases 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
F42G8.4 pmk-3; P38 Map Kinase family member (pmk-3)	K08293 mitogen-activated protein kinase [EC:2.7.11.24] 	2.7.11.24  mitogen-activated protein kinase 	2.7.11  Protein-serine/threonine kinases 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
C05D10.2 hypothetical protein	K08293 mitogen-activated protein kinase [EC:2.7.11.24] 	2.7.11.24  mitogen-activated protein kinase 	2.7.11  Protein-serine/threonine kinases 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
F59A6.1 nsy-1; Neuronal Symmetry family member (nsy-1)	K04426 mitogen-activated protein kinase kinase kinase 5 [EC:2.7.11.25] 	2.7.11.25  mitogen-activated protein kinase kinase kinase 	2.7.11  Protein-serine/threonine kinases 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
B0414.7 mtk-1; MTK1/MEKK4 homolog family member (mtk-1)	K04428 mitogen-activated protein kinase kinase kinase 4 [EC:2.7.11.25] 	2.7.11.25  mitogen-activated protein kinase kinase kinase 	2.7.11  Protein-serine/threonine kinases 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
Y18D10A.5 gsk-3; Glycogen Synthase Kinase family member (gsk-3)	K03083 glycogen synthase kinase 3 beta [EC:2.7.11.26] 	2.7.11.26  tau-protein kinase 	2.7.11  Protein-serine/threonine kinases 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
C44H4.6 hypothetical protein	K03083 glycogen synthase kinase 3 beta [EC:2.7.11.26] 	2.7.11.26  tau-protein kinase 	2.7.11  Protein-serine/threonine kinases 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
R90.1 hypothetical protein	K08815 tau tubulin kinase [EC:2.7.11.26] 	2.7.11.26  tau-protein kinase 	2.7.11  Protein-serine/threonine kinases 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
F52C9.7 hypothetical protein	K08823 CDC-like kinase [EC:2.7.12.1] 	2.7.12.1  dual-specificity kinase 	2.7.12  Dual-specificity kinases (those acting on Ser/Thr and Tyr residues) 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
E02H4.3 tag-172; Temporarily Assigned Gene name family member (tag-172)	K08823 CDC-like kinase [EC:2.7.12.1] 	2.7.12.1  dual-specificity kinase 	2.7.12  Dual-specificity kinases (those acting on Ser/Thr and Tyr residues) 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
F49E11.1 mbk-2; MiniBrain Kinase (Drosophila) homolog family member (mbk-2)	K08825 dual-specificity tyrosine-(Y)-phosphorylation regulated kinase [EC:2.7.12.1] 	2.7.12.1  dual-specificity kinase 	2.7.12  Dual-specificity kinases (those acting on Ser/Thr and Tyr residues) 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
T04C10.1 mbk-1; MiniBrain Kinase (Drosophila) homolog family member (mbk-1)	K08825 dual-specificity tyrosine-(Y)-phosphorylation regulated kinase [EC:2.7.12.1] 	2.7.12.1  dual-specificity kinase 	2.7.12  Dual-specificity kinases (those acting on Ser/Thr and Tyr residues) 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
Y54E10BL.6 mek-2; MAP kinase kinase or Erk Kinase family member (mek-2)	K04368 mitogen-activated protein kinase kinase 1 [EC:2.7.12.2] 	2.7.12.2  mitogen-activated protein kinase kinase 	2.7.12  Dual-specificity kinases (those acting on Ser/Thr and Tyr residues) 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
F42G10.2 mkk-4; MKK (MAP Kinase Kinase) homolog family member (mkk-4)	K04430 mitogen-activated protein kinase kinase 4 [EC:2.7.12.2] 	2.7.12.2  mitogen-activated protein kinase kinase 	2.7.12  Dual-specificity kinases (those acting on Ser/Thr and Tyr residues) 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
K08A8.1 mek-1; MAP kinase kinase or Erk Kinase family member (mek-1)	K04431 mitogen-activated protein kinase kinase 7 [EC:2.7.12.2] 	2.7.12.2  mitogen-activated protein kinase kinase 	2.7.12  Dual-specificity kinases (those acting on Ser/Thr and Tyr residues) 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
F35C8.1 hypothetical protein	K04433 mitogen-activated protein kinase kinase 6 [EC:2.7.12.2] 	2.7.12.2  mitogen-activated protein kinase kinase 	2.7.12  Dual-specificity kinases (those acting on Ser/Thr and Tyr residues) 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
R03G5.2 sek-1; SAPK/ERK kinase family member (sek-1)	K04433 mitogen-activated protein kinase kinase 6 [EC:2.7.12.2] 	2.7.12.2  mitogen-activated protein kinase kinase 	2.7.12  Dual-specificity kinases (those acting on Ser/Thr and Tyr residues) 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
Y54E10BR.1 hypothetical protein	K05285 phosphatidylinositol glycan, class N [EC:2.7.-.-] 	2.7.-.- 	2.7.-  Transferring phosphorus-containing groups 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
T02G5.13 mmaa-1; MethylMalonic Aciduria type A protein family member (mmaa-1)	K07588 LAO/AO transport system kinase [EC:2.7.-.-] 	2.7.-.- 	2.7.-  Transferring phosphorus-containing groups 	2.7  Transferring phosphorus-containing groups 	<b>2. Transferases</b> 	
D2023.5 hypothetical protein	K01011 thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] 	2.8.1.1  thiosulfate sulfurtransferase 	2.8.1  Sulfurtransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
F11G11.9 hypothetical protein	K01011 thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] 	2.8.1.1  thiosulfate sulfurtransferase 	2.8.1  Sulfurtransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
H12D21.4 hypothetical protein	K01011 thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] 	2.8.1.1  thiosulfate sulfurtransferase 	2.8.1  Sulfurtransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
D2023.5 hypothetical protein	K01011 thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] 	2.8.1.2  3-mercaptopyruvate sulfurtransferase 	2.8.1  Sulfurtransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
F11G11.9 hypothetical protein	K01011 thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] 	2.8.1.2  3-mercaptopyruvate sulfurtransferase 	2.8.1  Sulfurtransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
H12D21.4 hypothetical protein	K01011 thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] 	2.8.1.2  3-mercaptopyruvate sulfurtransferase 	2.8.1  Sulfurtransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
B0205.6 hypothetical protein	K04487 cysteine desulfurase [EC:2.8.1.7] 	2.8.1.7  cysteine desulfurase 	2.8.1  Sulfurtransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
M01F1.3 hypothetical protein	K03644 lipoic acid synthetase [EC:2.8.1.8] 	2.8.1.8  lipoyl synthase 	2.8.1  Sulfurtransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
R03A10.3 hypothetical protein	K15631 molybdenum cofactor sulfurtransferase [EC:2.8.1.9] 	2.8.1.9  molybdenum cofactor sulfurtransferase 	2.8.1  Sulfurtransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
Y111B2A.15 tpst-1; TyrosylProtein SulfoTransferase family member (tpst-1)	K01021 protein-tyrosine sulfotransferase [EC:2.8.2.20] 	2.8.2.20  protein-tyrosine sulfotransferase 	2.8.2  Sulfotransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
F42G9.8 tpst-2; TyrosylProtein SulfoTransferase family member (tpst-2)	K01021 protein-tyrosine sulfotransferase [EC:2.8.2.20] 	2.8.2.20  protein-tyrosine sulfotransferase 	2.8.2  Sulfotransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
F52B10.2 hst-3.2; Heparan SulphoTransferase family member (hst-3.2)	K07809 [heparan sulfate]-glucosamine 3-sulfotransferase 3 [EC:2.8.2.30] 	2.8.2.30  [heparan sulfate]-glucosamine 3-sulfotransferase 3 	2.8.2  Sulfotransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
F08B4.6 hst-1; Heparan SulphoTransferase family member (hst-1)	K01025 [EC:2.8.2.-] 	2.8.2.- 	2.8.2  Sulfotransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
C34F6.4 hst-2; Heparan SulphoTransferase family member (hst-2)	K02513 heparan sulfate 2-O-sulfotransferase HS2ST1 [EC:2.8.2.-] 	2.8.2.- 	2.8.2  Sulfotransferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
C05C10.3 hypothetical protein	K01027 3-oxoacid CoA-transferase [EC:2.8.3.5] 	2.8.3.5  3-oxoacid CoA-transferase 	2.8.3  CoA-transferases 	2.8  Transferring sulfur-containing groups 	<b>2. Transferases</b> 	
D1054.13 secs-1; SEC(selenocysteine)-tRNA Synthase family member (secs-1)	K03341 O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase [EC:2.9.1.2] 	2.9.1.2  O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase 	2.9.1  Selenotransferases 	2.9  Transferring selenium-containing groups 	<b>2. Transferases</b> 	
T06H11.4 moc-1; MOlybdenum Cofactor biosynthesis family member (moc-1)	K15376 gephyrin [EC:2.10.1.1 2.7.7.75] 	2.10.1.1  molybdopterin molybdotransferase 	2.10.1  Molybdenumtransferases or tungstentransferases with sulfide groups as acceptors 	2.10  Transferring molybdenum- or tungsten-containing groups 	<b>2. Transferases</b> 	
K10D2.7 hypothetical protein	K03635 molybdopterin synthase catalytic subunit [EC:2.-.-.-] 	2.-.-.- 	2.-.- 	2.- 	<b>2. Transferases</b> 	
T27A3.6 hypothetical protein	K03635 molybdopterin synthase catalytic subunit [EC:2.-.-.-] 	2.-.-.- 	2.-.- 	2.- 	<b>2. Transferases</b> 	
R12A1.4 ges-1; abnormal Gut ESterase family member (ges-1)	K01044 carboxylesterase 1 [EC:3.1.1.1] 	3.1.1.1  carboxylesterase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C52A10.2 hypothetical protein	K01044 carboxylesterase 1 [EC:3.1.1.1] 	3.1.1.1  carboxylesterase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F13H6.3 hypothetical protein	K03927 carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56] 	3.1.1.1  carboxylesterase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F13H6.4 hypothetical protein	K03927 carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56] 	3.1.1.1  carboxylesterase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C07E3.9 hypothetical protein	K01047 phospholipase A2 [EC:3.1.1.4] 	3.1.1.4  phospholipase A2 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C03H5.4 hypothetical protein	K01047 phospholipase A2 [EC:3.1.1.4] 	3.1.1.4  phospholipase A2 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
W07A8.2 hypothetical protein	K01047 phospholipase A2 [EC:3.1.1.4] 	3.1.1.4  phospholipase A2 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
M05B5.4 hypothetical protein	K06129 lysophospholipase III [EC:3.1.1.5] 	3.1.1.5  lysophospholipase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
K04G2.5 ath-1; Acyl protein THioesterase family member (ath-1)	K06130 lysophospholipase II [EC:3.1.1.5] 	3.1.1.5  lysophospholipase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C27A7.5 hypothetical protein	K13278 60kDa lysophospholipase [EC:3.1.1.5 3.1.1.47 3.5.1.1] 	3.1.1.5  lysophospholipase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
M110.7 hypothetical protein	K14676 lysophospholipid hydrolase [EC:3.1.1.5] 	3.1.1.5  lysophospholipase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
ZK370.4 hypothetical protein	K14676 lysophospholipid hydrolase [EC:3.1.1.5] 	3.1.1.5  lysophospholipase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
W09B12.1 ace-1; abnormal ACEtylcholinesterase family member (ace-1)	K01049 acetylcholinesterase [EC:3.1.1.7] 	3.1.1.7  acetylcholinesterase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y48B6A.7 ace-4; abnormal ACEtylcholinesterase family member (ace-4)	K01049 acetylcholinesterase [EC:3.1.1.7] 	3.1.1.7  acetylcholinesterase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y44E3A.2 ace-2; abnormal ACEtylcholinesterase family member (ace-2)	K01049 acetylcholinesterase [EC:3.1.1.7] 	3.1.1.7  acetylcholinesterase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y97E10AL.2 hypothetical protein	K13704 abhydrolase domain-containing protein 12 [EC:3.1.1.23] 	3.1.1.23  acylglycerol lipase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C24G6.8 hypothetical protein	K04794 peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29] 	3.1.1.29  aminoacyl-tRNA hydrolase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
R02F2.9 hypothetical protein	K15033 peptidyl-tRNA hydrolase ICT1 [EC:3.1.1.29] 	3.1.1.29  aminoacyl-tRNA hydrolase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y57G11C.3 hypothetical protein	K01057 6-phosphogluconolactonase [EC:3.1.1.31] 	3.1.1.31  6-phosphogluconolactonase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T03F6.5 lis-1; LIS-1 (human lissencephaly gene) related family member (lis-1)	K01062 1-alkyl-2-acetylglycerophosphocholine esterase [EC:3.1.1.47] 	3.1.1.47  1-alkyl-2-acetylglycerophosphocholine esterase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C52B9.7 paf-2; PAF-acetylhydrolase family member (paf-2)	K01062 1-alkyl-2-acetylglycerophosphocholine esterase [EC:3.1.1.47] 	3.1.1.47  1-alkyl-2-acetylglycerophosphocholine esterase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C27A7.5 hypothetical protein	K13278 60kDa lysophospholipase [EC:3.1.1.5 3.1.1.47 3.5.1.1] 	3.1.1.47  1-alkyl-2-acetylglycerophosphocholine esterase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F13H6.3 hypothetical protein	K03927 carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56] 	3.1.1.56  methylumbelliferyl-acetate deacetylase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F13H6.4 hypothetical protein	K03927 carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56] 	3.1.1.56  methylumbelliferyl-acetate deacetylase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C46C11.1 hypothetical protein	K07188 hormone-sensitive lipase [EC:3.1.1.79] 	3.1.1.79  hormone-sensitive lipase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F13H6.3 hypothetical protein	K03927 carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56] 	3.1.1.84  cocaine esterase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F13H6.4 hypothetical protein	K03927 carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56] 	3.1.1.84  cocaine esterase 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
B0464.9 hypothetical protein	K13617 protein phosphatase methylesterase 1 [EC:3.1.1.89] 	3.1.1.89  protein phosphatase methylesterase-1 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T28C12.4 hypothetical protein	K01066 esterase / lipase [EC:3.1.1.-] 	3.1.1.- 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
M03A1.6 ipla-1; Intracelllar PhosphoLipase A family member (ipla-1)	K13619 phospholipase DDHD1 [EC:3.1.1.-] 	3.1.1.- 	3.1.1  Carboxylic-ester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F09F7.4 hypothetical protein	K05605 3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4] 	3.1.2.4  3-hydroxyisobutyryl-CoA hydrolase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y17G7B.3 hypothetical protein	K01069 hydroxyacylglutathione hydrolase [EC:3.1.2.6] 	3.1.2.6  hydroxyacylglutathione hydrolase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y48G10A.1 hypothetical protein	K01070 S-formylglutathione hydrolase [EC:3.1.2.12] 	3.1.2.12  S-formylglutathione hydrolase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F40F12.5 cyld-1; CYLinDromatosis (human disease gene) homolog family member (cyld-1)	K08601 ubiquitin thioesterase CYLD [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C04E6.5 hypothetical protein	K11366 ubiquitin carboxyl-terminal hydrolase 22/27/51 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
H34C03.2 hypothetical protein	K11835 ubiquitin carboxyl-terminal hydrolase 4/11/15 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T27A3.2 hypothetical protein	K11836 ubiquitin carboxyl-terminal hydrolase 5/13 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
ZK328.1 cyk-3; CYtoKinesis defect family member (cyk-3)	K11837 ubiquitin carboxyl-terminal hydrolase 6/32 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
H19N07.2 math-33; MATH (meprin-associated Traf homology) domain containing family member (math-33)	K11838 ubiquitin carboxyl-terminal hydrolase 7 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
E01B7.1 hypothetical protein	K11839 ubiquitin carboxyl-terminal hydrolase 8 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T24B8.7 hypothetical protein	K11840 ubiquitin carboxyl-terminal hydrolase 9/24 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
R10E11.3 hypothetical protein	K11842 ubiquitin carboxyl-terminal hydrolase 12/46 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C13B4.2 usp-14; Ubiquitin Specific Protease family member (usp-14)	K11843 ubiquitin carboxyl-terminal hydrolase 14 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F07A11.4 hypothetical protein	K11847 ubiquitin carboxyl-terminal hydrolase 19 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
K02C4.3 hypothetical protein	K11849 ubiquitin carboxyl-terminal hydrolase 25/28 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y67D2.2 hypothetical protein	K11851 ubiquitin carboxyl-terminal hydrolase 30 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T05H10.1 hypothetical protein	K11857 ubiquitin carboxyl-terminal hydrolase 47 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y71A12B.9 hypothetical protein	K11986 ubiquitin carboxyl-terminal hydrolase 3 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
B0546.2 hypothetical protein	K12655 OTU domain-containing protein 5 [EC:3.1.2.15] 	3.1.2.15  ubiquitin thiolesterase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F44C4.5 ppt-1; Palmitoyl Protein Thioesterase family member (ppt-1)	K01074 palmitoyl-protein thioesterase [EC:3.1.2.22] 	3.1.2.22  palmitoyl[protein] hydrolase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F25E2.3 hypothetical protein	K11992 acyl-CoA thioesterase 8 [EC:3.1.2.27] 	3.1.2.27  choloyl-CoA hydrolase 	3.1.2  Thioester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y105C5B.3 hypothetical protein	K01113 alkaline phosphatase D [EC:3.1.3.1] 	3.1.3.1  alkaline phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C05C10.1 hypothetical protein	K01078 acid phosphatase [EC:3.1.3.2] 	3.1.3.2  acid phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C05C10.4 hypothetical protein	K01078 acid phosphatase [EC:3.1.3.2] 	3.1.3.2  acid phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F26C11.1 hypothetical protein	K01078 acid phosphatase [EC:3.1.3.2] 	3.1.3.2  acid phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F02E9.7 hypothetical protein	K14379 tartrate-resistant acid phosphatase type 5 [EC:3.1.3.2] 	3.1.3.2  acid phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T13B5.3 hypothetical protein	K14410 acid phosphatase [EC:3.1.3.2] 	3.1.3.2  acid phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
B0361.7 hypothetical protein	K14410 acid phosphatase [EC:3.1.3.2] 	3.1.3.2  acid phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y62E10A.13 hypothetical protein	K01079 phosphoserine phosphatase [EC:3.1.3.3] 	3.1.3.3  phosphoserine phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
H37A05.1 hypothetical protein	K15728 phosphatidate phosphatase LPIN [EC:3.1.3.4] 	3.1.3.4  phosphatidate phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y10G11A.1 hypothetical protein	K01081 5'-nucleotidase [EC:3.1.3.5] 	3.1.3.5  5'-nucleotidase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y71H10B.1 hypothetical protein	K01081 5'-nucleotidase [EC:3.1.3.5] 	3.1.3.5  5'-nucleotidase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
ZK430.2 tag-231; Temporarily Assigned Gene name family member (tag-231)	K01082 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7] 	3.1.3.7  3'(2'),5'-bisphosphate nucleotidase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y6B3B.5 hypothetical protein	K15759 inositol monophosphatase 3 [EC:3.1.3.25 3.1.3.7] 	3.1.3.7  3'(2'),5'-bisphosphate nucleotidase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
