GENES 	KO 	C 	B 	A 	
R09B3.5 mag-1; Drosophila MAGonashi homolog family member (mag-1)	K12877 protein mago nashi 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
W08E3.2 hypothetical protein	K14323 protein CASC3 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y65B4A.6 hypothetical protein	K13025 ATP-dependent RNA helicase [EC:3.6.4.13] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F33D11.10 hypothetical protein	K13025 ATP-dependent RNA helicase [EC:3.6.4.13] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C16C10.4 hypothetical protein	K14324 histone deacetylase complex subunit SAP18 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
R186.7 hypothetical protein	K13114 pinin 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C43E11.1 cogc-5; Conserved Oligomeric Golgi (COG) Component family member (cogc-5)	K12875 apoptotic chromatin condensation inducer in the nucleus 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
K02F3.11 rnp-5; RNP (RRM RNA binding domain) containing family member (rnp-5)	K14325 RNA-binding protein with serine-rich domain 1 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C01F6.5 aly-1; Ref/ALY RNA export adaptor family member (aly-1)	K12881 THO complex subunit 4 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
M18.7 aly-3; Ref/ALY RNA export adaptor family member (aly-3)	K12881 THO complex subunit 4 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C02B10.4 hypothetical protein	K12881 THO complex subunit 4 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F23B2.6 aly-2; Ref/ALY RNA export adaptor family member (aly-2)	K12881 THO complex subunit 4 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C15H11.3 nxf-1; Nuclear eXport Factor family member (nxf-1)	K14284 nuclear RNA export factor 1/2 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C15H11.6 nxf-2; Nuclear eXport Factor family member (nxf-2)	K14284 nuclear RNA export factor 1/2 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y71F9AM.5 nxt-1; NTF2-related ExporT protein family member (nxt-1)	K14285 NTF2-related export protein 1/2 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
T20G5.9 hypothetical protein	K14294 partner of Y14 and mago 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F28D9.1 rsr-1; SR protein related family member (rsr-1)	K13171 serine/arginine repetitive matrix protein 1 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C03D6.3 cel-1; mRNA Capping Enzyme Like family member (cel-1)	K13917 mRNA-capping enzyme [EC:2.7.7.50 3.1.3.33] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C25A1.3 tag-72; Temporarily Assigned Gene name family member (tag-72)	K00565 mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C17E4.5 pabp-2; PolyA Binding Protein (nuclear) family member (pabp-2)	K14396 polyadenylate-binding protein 2 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F43G9.5 hypothetical protein	K14397 cleavage and polyadenylation specificity factor subunit 5 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
D1046.1 hypothetical protein	K14398 cleavage and polyadenylation specificity factor subunit 6/7 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
T15H9.6 hypothetical protein	K14376 poly(A) polymerase [EC:2.7.7.19] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y32F6A.3 pap-1; Poly-A Polymerase family member (pap-1)	K14376 poly(A) polymerase [EC:2.7.7.19] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F43G6.5 hypothetical protein	K14376 poly(A) polymerase [EC:2.7.7.19] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F59A2.4 hypothetical protein	K14399 polyribonucleotide 5'-hydroxyl-kinase [EC:2.7.1.78] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
R144.2 hypothetical protein	K14400 pre-mRNA cleavage complex 2 protein Pcf11 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y76B12C.7 cpsf-1; Cleavage and Polyadenylation Specificity Factor family member (cpsf-1)	K14401 cleavage and polyadenylation specificity factor subunit 1 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F09G2.4 cpsf-2; Cleavage and Polyadenylation Specificity Factor family member (cpsf-2)	K14402 cleavage and polyadenylation specificity factor subunit 2 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y67H2A.1 cpsf-3; Cleavage and Polyadenylation Specificity Factor family member (cpsf-3)	K14403 cleavage and polyadenylation specificity factor subunit 3 [EC:3.1.27.-] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F11A10.8 cpsf-4; Cleavage and Polyadenylation Specificity Factor family member (cpsf-4)	K14404 cleavage and polyadenylation specificity factor subunit 4 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F32D1.9 hypothetical protein	K14405 pre-mRNA 3'-end-processing factor FIP1 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
R06A4.9 hypothetical protein	K15542 polyadenylation factor subunit 2 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C33H5.7 hypothetical protein	K14962 COMPASS component SWD2 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F29F11.6 gsp-1; yeast Glc Seven-like Phosphatases family member (gsp-1)	K06269 protein phosphatase 1, catalytic subunit [EC:3.1.3.16] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F56C9.1 gsp-2; yeast Glc Seven-like Phosphatases family member (gsp-2)	K06269 protein phosphatase 1, catalytic subunit [EC:3.1.3.16] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
T13C2.4 hypothetical protein	K15544 RNA polymerase II subunit A C-terminal domain phosphatase SSU72 [EC:3.1.3.16] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F28C6.3 cpf-1; Cleavage and Polyadenylation Factor family member (cpf-1)	K14406 cleavage stimulation factor subunit 1 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F56A8.6 cpf-2; Cleavage and Polyadenylation Factor family member (cpf-2)	K14407 cleavage stimulation factor subunit 2 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F28C6.6 suf-1; SUppressor-of-Forked (Drosophila) homolog family member (suf-1)	K14408 cleavage stimulation factor subunit 3 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F25G6.2 hypothetical protein	K06100 symplekin 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
R10E9.1 msi-1; MuSashI (fly neural) family member (msi-1)	K14411 RNA-binding protein Musashi 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y106G6H.2 pab-1; PolyA Binding protein family member (pab-1)	K13126 polyadenylate-binding protein 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F18H3.3 pab-2; PolyA Binding protein family member (pab-2)	K13126 polyadenylate-binding protein 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
T05H4.6 hypothetical protein	K03265 peptide chain release factor subunit 1 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
H19N07.1 hypothetical protein	K03267 peptide chain release factor subunit 3 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C05C10.2 hypothetical protein	K14326 regulator of nonsense transcripts 1 [EC:3.6.4.-] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C44H9.4 hypothetical protein	K14326 regulator of nonsense transcripts 1 [EC:3.6.4.-] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y48G8AL.6 smg-2; Suppressor with Morphological effect on Genitalia family member (smg-2)	K14326 regulator of nonsense transcripts 1 [EC:3.6.4.-] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y73B6BL.18 smg-3; Suppressor with Morphological effect on Genitalia family member (smg-3)	K14327 regulator of nonsense transcripts 2 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C48B6.6 smg-1; Suppressor with Morphological effect on Genitalia family member (smg-1)	K08873 PI-3-kinase-related kinase SMG-1 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y73B6A.4 smg-7; Suppressor with Morphological effect on Genitalia family member (smg-7)	K14409 protein SMG7 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y54F10AL.2 smg-6; Suppressor with Morphological effect on Genitalia family member (smg-6)	K11124 protein SMG6 [EC:3.1.-.-] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F38H4.9 let-92; LEThal family member (let-92)	K04382 protein phosphatase 2 (formerly 2A), catalytic subunit [EC:3.1.3.16] 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F48E8.5 paa-1; Phosphatase 2A regulatory A subunit family member (paa-1)	K03456 protein phosphatase 2 (formerly 2A), regulatory subunit A 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F26E4.1 sur-6; SUppressor of activated let-60 Ras family member (sur-6)	K04354 protein phosphatase 2 (formerly 2A), regulatory subunit B 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C25A1.9 rsa-1; Regulator of Spindle Assembly family member (rsa-1)	K11583 protein phosphatase 2 (formerly 2A), regulatory subunit B'' 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C06G1.5 hypothetical protein	K11583 protein phosphatase 2 (formerly 2A), regulatory subunit B'' 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C13G3.3 pptr-2; Protein Phosphatase 2A (Two A) Regulatory subunit family member (pptr-2)	K11584 protein phosphatase 2 (formerly 2A), regulatory subunit B' 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
W08G11.4 pptr-1; Protein Phosphatase 2A (Two A) Regulatory subunit family member (pptr-1)	K11584 protein phosphatase 2 (formerly 2A), regulatory subunit B' 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
K07A12.4 hypothetical protein	K14416 elongation factor 1 alpha-like protein 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
R74.6 hypothetical protein	K06965 protein pelota 	03015 mRNA surveillance pathway [PATH:cel03015] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
T01G9.6 kin-10; protein KINase family member (kin-10)	K03115 casein kinase II subunit beta 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
B0205.7 kin-3; protein KINase family member (kin-3)	K03097 casein kinase II subunit alpha [EC:2.7.11.1] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y51H7C.11 nol-6; NucleOLar protein family member (nol-6)	K14544 U3 small nucleolar RNA-associated protein 22 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
ZC434.4 hypothetical protein	K14545 ribosomal RNA-processing protein 7 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
T10B5.3 hypothetical protein	K14546 U3 small nucleolar RNA-associated protein 5 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y23H5B.5 hypothetical protein	K14549 U3 small nucleolar RNA-associated protein 15 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
ZK430.1 hypothetical protein	K14550 U3 small nucleolar RNA-associated protein 10 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
B0280.9 hypothetical protein	K14553 U3 small nucleolar RNA-associated protein 18 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y45F10D.7 hypothetical protein	K14554 U3 small nucleolar RNA-associated protein 21 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y53C12B.1 hypothetical protein	K14555 U3 small nucleolar RNA-associated protein 13 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F13H8.2 hypothetical protein	K14556 U3 small nucleolar RNA-associated protein 12 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F55F8.3 hypothetical protein	K14558 periodic tryptophan protein 2 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y75B8A.7 hypothetical protein	K14559 U3 small nucleolar RNA-associated protein MPP10 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C48B6.2 hypothetical protein	K14560 U3 small nucleolar ribonucleoprotein protein IMP3 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
ZK795.3 hypothetical protein	K14561 U3 small nucleolar ribonucleoprotein protein IMP4 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
T01C3.7 fib-1; FIBrillarin family member (fib-1)	K14563 rRNA 2'-O-methyltransferase fibrillarin [EC:2.1.1.-] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
K07C5.4 hypothetical protein	K14564 nucleolar protein 56 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
W01B11.3 nol-5; NucleOLar protein family member (nol-5)	K14565 nucleolar protein 58 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
M28.5 hypothetical protein	K12845 U4/U6 small nuclear ribonucleoprotein SNU13 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
K01G5.5 hypothetical protein	K11131 H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y48A6B.3 hypothetical protein	K11129 H/ACA ribonucleoprotein complex subunit 2 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y66H1A.4 hypothetical protein	K11128 H/ACA ribonucleoprotein complex subunit 1 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C25A1.16 hypothetical protein	K11130 H/ACA ribonucleoprotein complex subunit 3 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F30A10.9 hypothetical protein	K14566 U3 small nucleolar RNA-associated protein 24 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F27C1.6 hypothetical protein	K14567 U3 small nucleolar RNA-associated protein 14 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F26E4.10 drsh-1; Ortholog of Drosophila DRoSHa gene family member (drsh-1)	K03685 ribonuclease III [EC:3.1.26.3] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y39A1A.14 hypothetical protein	K14568 essential for mitotic growth 1 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y61A9LA.10 hypothetical protein	K14569 ribosome biogenesis protein BMS1 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F55A12.8 hypothetical protein	K14521 N-acetyltransferase 10 [EC:2.3.1.-] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
ZK1127.5 hypothetical protein	K11108 RNA 3'-terminal phosphate cyclase-like protein 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C05D11.9 hypothetical protein	K01164 ribonuclease P/MRP protein subunit POP1 [EC:3.1.26.5] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C15C6.4 hypothetical protein	K03538 ribonuclease P protein subunit POP4 [EC:3.1.26.5] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y66A7A.2 hypothetical protein	K03537 ribonuclease P/MRP protein subunit POP5 [EC:3.1.26.5] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
ZK632.14 hypothetical protein	K14525 ribonucleases P/MRP protein subunit RPP25 [EC:3.1.26.5] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y62E10A.2 hypothetical protein	K14527 ribonuclease P/MRP protein subunit RPP20 [EC:3.1.26.5] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
H35B03.2 hypothetical protein	K03539 ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F52C9.8 pqe-1; PolyQ (poly glutamine tract) toxicity Enhancer family member (pqe-1)	K14570 RNA exonuclease 1 [EC:3.1.-.-] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y56A3A.33 hypothetical protein	K14570 RNA exonuclease 1 [EC:3.1.-.-] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C05C8.5 hypothetical protein	K14570 RNA exonuclease 1 [EC:3.1.-.-] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C08B6.8 hypothetical protein	K13288 oligoribonuclease [EC:3.1.-.-] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y39G8C.1 xrn-1; XRN (mouse/S. cerevisiae) ribonuclease related family member (xrn-1)	K12618 5'-3' exoribonuclease 1 [EC:3.1.13.-] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y48B6A.3 xrn-2; XRN (mouse/S. cerevisiae) ribonuclease related family member (xrn-2)	K12619 5'-3' exoribonuclease 2 [EC:3.1.13.-] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
T07A9.9 hypothetical protein	K06943 nucleolar GTP-binding protein 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
T19A6.2 ngp-1; Nuclear/nucleolar GTP-binding Protein family member (ngp-1)	K14537 nuclear GTP-binding protein 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
K01C8.9 nst-1; mammalian NucleoSTemin (stem cell marker) related family member (nst-1)	K14538 nuclear GTP-binding protein 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y48C3A.7 mac-1; Member of AAA family binding CED-4 family member (mac-1)	K14571 ribosome biogenesis ATPase 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
F55F10.1 hypothetical protein	K14572 midasin 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
R05H10.2 hypothetical protein	K14573 nucleolar protein 4 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y54E10BR.4 hypothetical protein	K11883 RNA-binding protein NOB1 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
K01G5.4 ran-1; associated with RAN (nuclear import/export) function family member (ran-1)	K07936 GTP-binding nuclear protein Ran 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
ZK742.1 xpo-1; eXPOrtin (nuclear export receptor) family member (xpo-1)	K14290 exportin-1 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
T25G3.3 hypothetical protein	K07562 nonsense-mediated mRNA decay protein 3 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C15H11.3 nxf-1; Nuclear eXport Factor family member (nxf-1)	K14284 nuclear RNA export factor 1/2 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C15H11.6 nxf-2; Nuclear eXport Factor family member (nxf-2)	K14284 nuclear RNA export factor 1/2 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y71F9AM.5 nxt-1; NTF2-related ExporT protein family member (nxt-1)	K14285 NTF2-related export protein 1/2 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C47B2.5 eif-6; Eukaryotic Initiation Factor family member (eif-6)	K03264 translation initiation factor 6 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
W06E11.4 sbds-1; Shwachman-Bodian-Diamond Syndrome protein homolog family member (sbds-1)	K14574 ribosome maturation protein SDO1 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
K10C3.5 hypothetical protein	K14536 ribosome assembly protein 1 [EC:3.6.5.-] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C53H9.2 hypothetical protein	K14539 large subunit GTPase 1 [EC:3.6.1.-] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
E02H1.6 hypothetical protein	K14535 transcription initiation factor TFIID subunit 9 / adenylate kinase [EC:2.7.4.3] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
M01B12.5 hypothetical protein	K07178 RIO kinase 1 [EC:2.7.11.1] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
Y105E8B.3 hypothetical protein	K07179 RIO kinase 2 [EC:2.7.11.1] 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
s-rRNA S-rRNA	K01979 small subunit ribosomal RNA 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
l-rRNA L-rRNA	K01982 large subunit ribosomal RNA 	03008 Ribosome biogenesis in eukaryotes [PATH:cel03008] 	<b>Translation</b> 	<b>Genetic Information Processing</b> 	
C01A2.3 hypothetical protein	K03217 preprotein translocase subunit YidC 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F21D5.7 hypothetical protein	K03106 signal recognition particle subunit SRP54 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y57G11C.15 hypothetical protein	K10956 protein transport protein SEC61 subunit alpha 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
